Team,Match_Number,Date,Opponent,Venue,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
Juventus,6,2025-10-05,Milan,H,0,0,1,3.0,-2.0,-1.0
Lazio,1,2025-08-24,Como,A,2,0,0,3.0,-3.0,-3.0
Lazio,2,2025-08-31,Verona,H,4,0,3,3.0,0.0,-3.0
Lazio,3,2025-09-21,Roma,H,0,1,0,1.0,-1.0,-4.0
Lazio,4,2025-09-29,Genoa,A,0,3,3,3.0,0.0,-4.0
Lazio,5,2025-10-04,Torino,H,3,3,1,1.0,0.0,-4.0
Lecce,1,2025-08-23,Genoa,A,0,0,1,0.0,1.0,1.0
Lecce,2,2025-08-29,Milan,H,0,2,0,0.0,0.0,1.0
Lecce,3,2025-09-14,Atalanta,A,4,1,0,1.0,-1.0,0.0
Lecce,4,2025-09-19,Cagliari,H,1,2,0,3.0,-3.0,-3.0
Lecce,5,2025-09-28,Bologna,H,2,2,1,1.0,0.0,-3.0
Lecce,6,2025-10-04,Parma,A,0,1,3,3.0,0.0,-3.0
Milan,1,2025-08-29,Lecce,A,0,2,3,3.0,0.0,0.0
Milan,2,2025-09-14,Bologna,H,1,0,3,3.0,0.0,0.0
Milan,3,2025-09-20,Udinese,A,0,3,3,3.0,0.0,0.0
Milan,4,2025-09-28,Napoli,H,2,1,3,0.0,3.0,3.0
Milan,5,2025-10-05,Juventus,A,0,0,1,0.0,1.0,4.0
Napoli,1,2025-08-30,Cagliari,H,1,0,3,3.0,0.0,0.0
Napoli,2,2025-09-13,Fiorentina,A,1,3,3,3.0,0.0,0.0
Napoli,3,2025-09-28,Milan,A,2,1,0,3.0,-3.0,-3.0
Napoli,4,2025-10-05,Genoa,H,2,1,3,1.0,2.0,-1.0
Parma,1,2025-08-24,Juventus,A,2,0,0,1.0,-1.0,-1.0
Parma,2,2025-08-30,Atalanta,H,1,1,1,0.0,1.0,0.0
Parma,3,2025-09-13,Cagliari,A,2,0,0,0.0,0.0,0.0
Parma,4,2025-09-29,Torino,H,2,1,3,1.0,2.0,2.0
Parma,5,2025-10-04,Lecce,H,0,1,0,0.0,0.0,2.0
Roma,1,2025-08-23,Bologna,H,1,0,3,0.0,3.0,3.0
Roma,2,2025-09-14,Torino,H,0,1,0,3.0,-3.0,0.0
Roma,3,2025-09-21,Lazio,A,0,1,3,1.0,2.0,2.0
Roma,4,2025-09-28,Verona,H,2,0,3,3.0,0.0,2.0
Roma,5,2025-10-05,Fiorentina,A,1,2,3,0.0,3.0,5.0
Torino,1,2025-08-25,Inter,A,5,0,0,0.0,0.0,0.0
Torino,2,2025-08-31,Fiorentina,H,0,0,1,0.0,1.0,1.0
Torino,3,2025-09-14,Roma,A,0,1,3,0.0,3.0,4.0
Torino,4,2025-09-21,Atalanta,H,0,3,0,3.0,-3.0,1.0
Torino,5,2025-09-29,Parma,A,2,1,0,1.0,-1.0,0.0
Torino,6,2025-10-04,Lazio,A,3,3,1,1.0,0.0,0.0
Udinese,1,2025-08-25,Verona,H,1,1,1,0.0,1.0,1.0
Udinese,2,2025-08-31,Inter,A,1,2,3,0.0,3.0,4.0
Udinese,3,2025-09-20,Milan,H,0,3,0,0.0,0.0,4.0
Udinese,4,2025-10-05,Cagliari,H,1,1,1,3.0,-2.0,2.0
Verona,1,2025-08-25,Udinese,A,1,1,1,3.0,-2.0,-2.0
Verona,2,2025-08-31,Lazio,A,4,0,0,0.0,0.0,-2.0
Verona,3,2025-09-20,Juventus,H,1,1,1,0.0,1.0,-1.0
Verona,4,2025-09-28,Roma,A,2,0,0,0.0,0.0,-1.0
